offer_id,property_type,area,condition,price_m2,built_in,house_area,land_area,built_up_area,terrain,energy_certificate,electricity,water,location_district,location_city,location_area,agency,office_city
JuboTIFLqNK,house,106,"new construction",NULL,2023,106,600,132,NULL,A,NULL,NULL,"okres Martin",Slovany,Slovany,"Buby reality, s.r.o.",Žilina
JuDKS0g6D3f,house,125,"new construction",2617.11,2025,125,286,NULL,other,"not available","not available","not available","okres Žilina",Bitarová,Bitarová,"MGM reality",Žilina
JuJU1QTMNeE,house,500,"partially renovated",350.00,1980,500,948,150,NULL,"not available",NULL,NULL,"okres Turčianske Teplice",Jazernica,Jazernica,"Reality AK, spol. s r.o.",Martin
Ju4eYX0tWAV,house,150,unrenovated,440.00,1950,150,410,200,"mostly flat","not available",on-site,"public water","okres Kysucké Nové Mesto",Snežnica,Snežnica,"PhDr. Miloš Kocúr - BKM Consulting",Skalité
Jud5gsaD9sR,house,166,"partially renovated",1355.36,1900,166,608,129,flat,"not available",NULL,well,"okres Žilina",Krasňany,Krasňany,"HALO reality, s.r.o.",Prievidza
JuYDxLuRjG3,house,328,"fully renovated",1280.49,2000,328,1389,NULL,NULL,"in preparation",NULL,NULL,"okres Martin",Trebostovo,Trebostovo,"VAŠE REALITY s.r.o.",Trenčín
Juaq4WwW9vx,house,130,"new construction",2307.69,2025,130,514,76,NULL,"in preparation",NULL,NULL,"okres Martin",Slovany,Slovany,"Reality ASTORIA, s.r.o.",Martin
JuOJxRj9DKw,house,90,"under construction",2332.22,2025,90,307,114,flat,A,NULL,"public water","okres Čadca",Čierne,Čierne,"TARGETreal s. r. o.",Žilina
JuJ4xyA2Mvr,land,700,"partially renovated",NULL,1970,700,10000,800,"mostly flat","not available",NULL,NULL,"okres Martin",Podhradie,Podhradie,"RE/MAX Slovakia",Bratislava
JudYTXBsh4Y,house,180,"new construction",NULL,2024,180,305,120,NULL,A,NULL,NULL,"okres Žilina",Divina,Divina,"RES GROUP, s.r.o.",Žilina
JupYVGV2PGl,house,196,"fully renovated",1224.49,2025,196,NULL,NULL,"gently sloped","not available","not available","not available","okres Martin",Martin,Jahodníky,"Reality Alpia",Martin
JuDwofoMvZp,house,1000,"partially renovated",399.00,1980,1000,1000,183,flat,"not available",NULL,NULL,"okres Martin",Dražkovce,Dražkovce,"TUreality s.r.o.",Žilina
JuqvJh14Wgu,house,524,"partially renovated",448.47,2025,524,NULL,NULL,"gently sloped","not available","not available",well,"okres Ružomberok",Ružomberok,"Biely Potok","Reality Alpia",Martin
JuF72cqi1ME,house,359,unrenovated,348.19,1925,359,NULL,123,"gently sloped","not available",on-site,"public water","okres Žilina",Lietava,Lietava,"RIEŠIME BÝVANIE",Bratislava
JuT__REr8vI,house,781,"partially renovated",NULL,2025,781,NULL,NULL,flat,"not available","not available",well,"okres Žilina",Žilina,"Staré mesto","Reality Alpia",Martin
Ju4BYb2OXbI,house,967,"new construction",434.33,2025,967,NULL,NULL,flat,"not available","not available",well,"okres Martin",Necpaly,Necpaly,"Reality Alpia",Martin
JuWoCIVD5v7,house,163,unrenovated,977.80,2009,163,NULL,163,flat,"not available",NULL,"not available","okres Martin",Vrútky,Mexiko,"LICITOR group, a.s.",Žilina
JuP68rfpcZn,house,551,"new construction",680.58,2017,551,551,116,NULL,A,NULL,NULL,"okres Martin",Martin,Záturčie,"Buby reality, s.r.o.",Žilina
JuEM42o9KEz,house,195,"partially renovated",1738.46,1998,195,824,148,"gently sloped","not available",NULL,NULL,"okres Žilina",Žilina,"Mojšová Lúčka","Mamud Reality s. r. o.",Žilina
JuBBhpjm8uU,house,221,"new construction",NULL,2023,221,939,NULL,other,A,"not available","not available","okres Žilina",Varín,Varín,"MGM reality",Žilina
JuB-eq5YpsZ,house,280,"partially renovated",1035.71,1992,280,800,120,flat,"not available",on-site,"public water","okres Martin",Martin,Stred,"RIEŠIME BÝVANIE",Bratislava
JugwkPLjiSd,house,172,"partially renovated",1098.84,1957,172,1337,115,NULL,"not available",NULL,NULL,"okres Čadca",Turzovka,Stred,"KUBALA REALITY, s.r.o.",Čadca
JuvSq281jGh,house,1969,"new construction",213.31,2017,1969,NULL,NULL,"gently sloped","not available","not available",well,"okres Ružomberok","Liptovské Revúce","Liptovské Revúce","Reality Alpia",Martin
Jui_ZoBED_0,house,150,"partially renovated",1330.00,1900,150,164,85,NULL,"not available",NULL,NULL,"okres Žilina",Višňové,Višňové,"WFG reality, s.r.o.",Žilina
JuJYdMwBoGD,house,200,unrenovated,NULL,1973,200,NULL,120,flat,"not available",on-site,"public water","okres Liptovský Mikuláš","Liptovský Hrádok",Dovalovo,"GERT , s.r.o.","Liptovský Mikuláš"
JuRsdZ8Jr2V,house,101,"partially renovated",1336.63,1975,101,1174,116,flat,"not available",NULL,"public water","okres Ružomberok",Ružomberok,"Biely Potok","NajBývanie, s.r.o.",Ružomberok
JuCaZmfJRdP,house,153,unrenovated,1215.69,1992,153,672,153,flat,"not available",NULL,NULL,"okres Ružomberok",Ludrová,Ludrová,"NajBývanie, s.r.o.",Ružomberok
JuAxDS1KQP8,house,120,unrenovated,1075.00,1965,120,NULL,102,flat,"not available",on-site,well,"okres Žilina","Lietavská Lúčka","Lietavská Lúčka","Babony TRE s.r.o.",Bratislava
JuKYmK8mVw6,house,230,"fully renovated",2391.30,2005,230,1250,200,flat,"not available",on-site,"public water","okres Žilina",Stránske,Stránske,"RIEŠIME BÝVANIE",Bratislava
JunvCN2R0KwV,house,698,unrenovated,141.21,1980,698,698,114,NULL,"not available",NULL,NULL,"okres Bytča",Hvozdnica,Hvozdnica,"TUreality s.r.o.",Žilina
Jugb1InFMah,house,300,"partially renovated",2330.00,1995,300,NULL,200,flat,"not available",on-site,"public water","okres Liptovský Mikuláš","Liptovský Mikuláš",Okoličné,jabyvam.sk,"Liptovský Mikuláš"
