offer_id,offer_type,property_type,condition,location_district,location_city,location_area,agency,office_city
Jubyz8KHpaA,sale,land,NULL,"okres Liptovský Mikuláš",Lazisko,Lazisko,donidDevelop,"Dolný Kubín"
JuWu8X5e0jn,sale,land,unrenovated,"okres Liptovský Mikuláš","Liptovský Mikuláš",Stošice,"Direct Real, spol. s r.o.",Bratislava
Ju5paSEB6Nv,sale,land,"new construction","okres Žilina",Terchová,Terchová,"RS Mansory s.r.o.",Bratislava
JuaCQD06zTh,sale,land,NULL,"okres Kysucké Nové Mesto","Horný Vadičov","Horný Vadičov","ROSA reality","Kysucké Nové Mesto"
JuKYxcrrEwh,sale,land,NULL,"okres Námestovo",Zákamenné,Zákamenné,NULL,NULL
JuJYKVSAq2k,sale,land,NULL,"okres Bytča",Súľov-Hradná,Súľov-Hradná,NULL,NULL
JusCOC7JYu5,sale,land,NULL,"okres Ružomberok",Štiavnička,Štiavnička,"NajBývanie, s.r.o.",Ružomberok
Juv5TkPsj9T,sale,land,NULL,"okres Turčianske Teplice","Turčianske Teplice","Turčiansky Michal","Reality Center, s.r.o.",Martin
JuRufzqYfTo,sale,land,NULL,"okres Žilina",Žilina,Budatín,"Real Estate Group4U","Považská Bystrica"
JuB6HhfZSPN,sale,land,NULL,"okres Žilina",Žilina,Budatín,"WFG reality, s.r.o.",Žilina
JuNR7iOAWOb,sale,land,unrenovated,"okres Liptovský Mikuláš","Liptovské Kľačany","Liptovské Kľačany","AstonReal s.r.o.","Banská Bystrica"
JuNztztwtJj,sale,land,NULL,"okres Žilina",Žilina,Bôrik,"ROMDOM, s. r. o",Žilina
JudgSom7ejT,sale,land,unrenovated,"okres Čadca",Staškov,Staškov,"Safe reality s. r. o.",Žilina
Ju98hXHMfyH,sale,land,NULL,"okres Čadca",Olešná,Olešná,"JPE. Reality - Jozef Pajer",Čadca
JuEJOqphXdZ,sale,land,NULL,"okres Čadca",Raková,Raková,"ETHOS reality, s. r. o.","Krásno nad Kysucou"
Jul095-F2H-,sale,land,NULL,"okres Martin",Sklabiňa,Sklabiňa,"ALT REAL, s.r.o.",Martin
JuPGYcuAlfl,sale,land,NULL,"okres Liptovský Mikuláš","Liptovská Anna","Liptovská Anna",NULL,NULL
JuLNhT-3oNA,sale,land,NULL,"okres Bytča",Maršová-Rašov,Maršová-Rašov,"ADH-REAL s.r.o. Hirjaková Adriana",Ovčiarsko
Jus3WMnENIj,sale,land,NULL,"okres Žilina",Zbyňov,Zbyňov,"WFG reality, s.r.o.",Žilina
JuWnFD5OAUU,sale,land,NULL,"okres Námestovo","Oravská Jasenica","Oravská Jasenica","RE/MAX Slovakia",Bratislava
Ju-0W9ug2Ol,sale,land,NULL,"okres Čadca",Turzovka,Predmier,"SLNOVRAT, s.r.o.",Olešná
