property_type,condition,location_district,gen_count,gen_avg_price,dis_count,dis_avg_price,price_diff
"1-room apartment","under construction","okres Bytča",8,2954.628571,1,2101.580000,-28.8716009644
"holiday apartment","new construction","okres Námestovo",93,4666.350909,3,3491.395000,-25.1793303143
"3-room apartment",unrenovated,"okres Turčianske Teplice",68,1900.298036,1,NULL,NULL
"holiday apartment","new construction","okres Bytča",93,4666.350909,1,NULL,NULL
"4-room apartment","development project","okres Liptovský Mikuláš",5,3955.702000,1,3081.190000,-22.1076309591
"other apartment type",unrenovated,"okres Martin",2,2888.370000,1,5050.000000,74.8390960992
"holiday apartment","new construction","okres Dolný Kubín",93,4666.350909,2,4112.410000,-11.8709655532
"studio apartment","partially renovated","okres Liptovský Mikuláš",7,2914.662000,1,1439.390000,-50.6155430715
"3-room apartment","fully renovated","okres Turčianske Teplice",90,2484.530476,1,1791.670000,-27.8869783524
loft,"partially renovated","okres Žilina",1,4184.120000,1,4184.120000,0.0000000000
"4-room apartment","new construction","okres Dolný Kubín",38,2797.552667,1,2046.670000,-26.8406981523
loft,"under construction","okres Liptovský Mikuláš",1,3374.090000,1,3374.090000,0.0000000000
"holiday apartment","new construction","okres Turčianske Teplice",93,4666.350909,1,NULL,NULL
"3-room apartment","new construction","okres Turčianske Teplice",110,2940.550842,1,2186.490000,-25.6435233572
"3-room apartment","new construction","okres Bytča",110,2940.550842,2,2170.460000,-26.1886593151
"studio apartment","fully renovated","okres Dolný Kubín",8,4025.810000,1,4820.710000,19.7450947760
"4-room apartment","new construction","okres Bytča",38,2797.552667,1,2895.350000,3.4958174033
"2-room apartment",unrenovated,"okres Námestovo",35,2167.317353,1,2090.910000,-3.5254344683
"studio apartment","fully renovated","okres Martin",8,4025.810000,1,3131.580000,-22.2124243320
"4-room apartment","fully renovated","okres Bytča",40,2351.017179,1,1688.350000,-28.1864030990
"4-room apartment","under construction","okres Liptovský Mikuláš",18,2779.408889,1,4106.070000,47.7317718976
"holiday apartment",unrenovated,"okres Čadca",6,3556.341667,1,2151.160000,-39.5119985247
"1-room apartment","under construction","okres Ružomberok",8,2954.628571,2,3362.930000,13.8190442280
"3-room apartment","partially renovated","okres Dolný Kubín",121,2016.158090,1,1965.280000,-2.5235168935
"1-room apartment","fully renovated","okres Tvrdošín",20,2915.345556,1,2000.000000,-31.3974977723
"1-room apartment","new construction","okres Dolný Kubín",42,3762.587436,1,3515.150000,-6.5762574348
"holiday apartment",unrenovated,"okres Liptovský Mikuláš",6,3556.341667,2,4536.515000,27.5612813610
"4-room apartment",unrenovated,"okres Liptovský Mikuláš",12,1876.870000,1,NULL,NULL
"studio apartment","fully renovated","okres Čadca",8,4025.810000,1,2130.000000,-47.0913927880
"5+ room apartment","partially renovated","okres Martin",4,2588.316667,1,NULL,NULL
"1-room apartment","fully renovated","okres Kysucké Nové Mesto",20,2915.345556,1,3206.900000,10.0006821970
"2-room apartment","partially renovated","okres Námestovo",67,2358.305690,1,NULL,NULL
house,"fully renovated","okres Martin",198,1549.545062,52,1320.420000,-14.7866020562
house,"new construction","okres Čadca",340,2114.287185,28,1790.622381,-15.3084598108
house,"new construction","okres Bytča",340,2114.287185,18,2378.940667,12.5173857117
house,unrenovated,"okres Kysucké Nové Mesto",364,1025.187980,17,1029.978000,0.4672333361
house,"partially renovated","okres Čadca",331,1370.453684,44,836.619189,-38.9531219648
house,unrenovated,"okres Čadca",364,1025.187980,57,750.752353,-26.7692981535
house,unrenovated,"okres Žilina",364,1025.187980,80,1436.461290,40.1168681279
house,"under construction","okres Martin",51,1843.917727,7,2180.154286,18.2349002928
house,"fully renovated","okres Žilina",198,1549.545062,48,1807.076250,16.6197934036
house,unrenovated,"okres Martin",364,1025.187980,58,1027.747959,0.2497082535
house,unrenovated,"okres Turčianske Teplice",364,1025.187980,26,789.431429,-22.9964216904
house,"partially renovated","okres Ružomberok",331,1370.453684,32,925.285769,-32.4832513639
house,"partially renovated","okres Žilina",331,1370.453684,66,1231.615439,-10.1308235821
house,"fully renovated","okres Liptovský Mikuláš",198,1549.545062,21,1755.859333,13.3145060482
house,"new construction","okres Martin",340,2114.287185,66,1933.798889,-8.5366026565
house,"fully renovated","okres Ružomberok",198,1549.545062,17,1785.110000,15.2021999087
house,unrenovated,"okres Liptovský Mikuláš",364,1025.187980,55,989.996667,-3.4326692945
house,unrenovated,"okres Námestovo",364,1025.187980,7,764.443333,-25.4338377046
house,"partially renovated","okres Kysucké Nové Mesto",331,1370.453684,15,1213.922000,-11.4218879359
