property_type,condition,location_district,location_area,gen_count,gen_avg_price,area_count,dis_avg_price,price_diff
house,"fully renovated","okres Martin",Žabokreky,198,1549.545062,2,286.885000,-81.4858562661
house,unrenovated,"okres Ružomberok",Baničné,364,1025.187980,1,416.670000,-59.3567220716
house,"partially renovated","okres Martin","Košťany nad Turcom",331,1370.453684,1,1741.670000,27.0871113949
house,"fully renovated","okres Martin",Trebostovo,198,1549.545062,2,1180.195000,-23.8360323335
house,"new construction","okres Martin","Karvaša a Bláhovca",340,2114.287185,2,260.000000,-87.7027112568
house,"new construction","okres Martin",Valča,340,2114.287185,9,1499.785714,-29.0642385462
house,"fully renovated","okres Žilina",Stráňavy,198,1549.545062,1,3074.770000,98.4304990803
house,"partially renovated","okres Žilina","Teplička nad Váhom",331,1370.453684,3,1504.545000,9.7844471189
house,"partially renovated","okres Žilina",Gbeľany,331,1370.453684,1,332.540000,-75.7350427904
house,"new construction","okres Žilina",Podhorie,340,2114.287185,1,2551.660000,20.6865376711
house,"partially renovated","okres Žilina",Terchová,331,1370.453684,4,1333.393333,-2.7042395838
house,unrenovated,"okres Turčianske Teplice",Mošovce,364,1025.187980,5,888.782500,-13.3054115597
house,unrenovated,"okres Žilina",Lysica,364,1025.187980,3,772.360000,-24.6616215691
house,unrenovated,"okres Martin",Podháj,364,1025.187980,1,NULL,NULL
house,"partially renovated","okres Čadca",Oščadnica,331,1370.453684,4,820.280000,-40.1453686778
house,"new construction","okres Martin","Dolný Kalník",340,2114.287185,2,2724.750000,28.8732211656
house,unrenovated,"okres Žilina",Trnové,364,1025.187980,1,1793.330000,74.9269436421
house,unrenovated,"okres Martin","Dolné Vrútky",364,1025.187980,4,1341.916667,30.8946937712
house,"new construction","okres Kysucké Nové Mesto","Lopušné Pažite",340,2114.287185,1,2254.720000,6.6420879811
house,"partially renovated","okres Liptovský Mikuláš","Staré mesto",331,1370.453684,3,1259.205000,-8.1176536864
house,unrenovated,"okres Čadca",Staškov,364,1025.187980,2,554.765000,-45.8865095160
house,unrenovated,"okres Martin",Belá-Dulice,364,1025.187980,2,1045.000000,1.9325255842
house,"new construction","okres Turčianske Teplice","Turčiansky Michal",340,2114.287185,3,1684.375000,-20.3336702814
house,"partially renovated","okres Dolný Kubín",Mokraď,331,1370.453684,1,3312.500000,141.7082779720
house,unrenovated,"okres Žilina","Malá Praha",364,1025.187980,2,2750.000000,168.2434883796
house,"partially renovated","okres Turčianske Teplice","Horná Štubňa",331,1370.453684,6,566.737500,-58.6459939058
house,"new construction","okres Žilina",Bánová,340,2114.287185,1,2771.600000,31.0890980025
house,"new construction","okres Liptovský Mikuláš",Prosiek,340,2114.287185,1,2112.000000,-0.1081775937
