offer_id,agency,property_type,property_category,condition,location_district,location_area,agency_listings,district_listings,agency_price_m2,district_avg_price,price_index
JuSSppam0PC,"TATRA CITY RESIDENCE s. r. o.","1-room apartment",apartment,"new construction","okres Liptovský Mikuláš","Staré mesto",1,2,3949.04,3332.855000,0.1848820306
JufbBHYx-coz,"AstonReal s.r.o.","1-room apartment",apartment,"new construction","okres Liptovský Mikuláš","Staré mesto",1,2,2716.67,3332.855000,-0.1848820306
JusEglMU0v8,"HD reality group s.r.o","3-room apartment",apartment,unrenovated,"okres Martin",Jahodníky,1,3,2013.04,1887.360000,0.0665903696
Ju-48631_aJ,"RK Dalmia s. r. o.","3-room apartment",apartment,unrenovated,"okres Dolný Kubín","Veľký Bysterec",1,2,2037.91,2057.415000,-0.0094803431
JuFpZug_t62,"TRI LIPY, s. r. o.","1-room apartment",apartment,"new construction","okres Kysucké Nové Mesto",Kamence,1,2,3770.97,3728.340000,0.0114340430
JuXnw8EKWYI,"RS Mansory s.r.o.","3-room apartment",apartment,"new construction","okres Žilina","Staré mesto",1,9,3376.34,3410.800000,-0.0101032016
JuXcyij9eMf_,"Financial Hotels Management, s.r.o.","3-room apartment",apartment,"new construction","okres Žilina","Staré mesto",3,9,4302.34,3410.800000,0.2613873578
JuV4el-7B8H,"Financial Hotels Management, s.r.o.","3-room apartment",apartment,"new construction","okres Žilina","Staré mesto",3,9,3463.69,3410.800000,0.0155066260
JubD2pJKl5g,"Financial Hotels Management, s.r.o.","3-room apartment",apartment,"new construction","okres Žilina","Staré mesto",3,9,4979.18,3410.800000,0.4598276064
JuUnWH-g8Yz,"Realitné kancelárie SR","3-room apartment",apartment,"new construction","okres Žilina","Staré mesto",1,9,2461.12,3410.800000,-0.2784332121
Jus2f1I5Shb,"MGM reality","3-room apartment",apartment,"partially renovated","okres Žilina",Hliny,1,3,2426.47,2420.343333,0.0025313215
JuFNpzHutiG,"TUreality s.r.o.","3-room apartment",apartment,"partially renovated","okres Žilina",Hliny,1,3,2569.23,2420.343333,0.0615146888
JufYiP4E7Es,"ROMDOM, s. r. o","3-room apartment",apartment,"partially renovated","okres Žilina",Hliny,1,3,2265.33,2420.343333,-0.0640460099
JuT7xzp7Ax-,AZUR.RE,"2-room apartment",apartment,"fully renovated","okres Martin",Stred,1,8,2313.88,2590.823750,-0.1068940911
JuL3MT7o1WL,"Realitná kancelária","2-room apartment",apartment,"fully renovated","okres Martin",Stred,2,8,2331.67,2590.823750,-0.1000275492
JuDJ_hnDscM,"Realitná kancelária","2-room apartment",apartment,"fully renovated","okres Martin",Stred,2,8,2331.67,2590.823750,-0.1000275492
JuKkjtqN4VW,"RE/MAX Slovakia","2-room apartment",apartment,"fully renovated","okres Martin",Stred,3,8,3035.54,2590.823750,0.1716505223
JuMBGx19jQm,"RE/MAX Slovakia","2-room apartment",apartment,"fully renovated","okres Martin",Stred,3,8,2727.09,2590.823750,0.0525957237
Jubh97mv2uS,"RE/MAX Slovakia","2-room apartment",apartment,"fully renovated","okres Martin",Stred,3,8,2220.83,2590.823750,-0.1428093092
JukCOBdi-HG,"RIEŠIME BÝVANIE","3-room apartment",apartment,"fully renovated","okres Žilina",Vlčince,1,5,2769.88,2883.514000,-0.0394081666
JuSPwAqNDjb,"OREA, s.r.o.","2-room apartment",apartment,"new construction","okres Ružomberok",Hrabovo,1,3,4137.93,3702.066667,0.1177351388
JuC08OMa82u,"RIEŠIME BÝVANIE","4-room apartment",apartment,"new construction","okres Žilina",Hájik,1,3,2263.80,2623.350000,-0.1370575790
Jupw1bQT1Jh,"Reinoo a.s.","3-room apartment",apartment,"new construction","okres Žilina",Vlčince,7,11,2946.01,3177.283636,-0.0727897357
Jun_e5pu1kO,"Reinoo a.s.","3-room apartment",apartment,"new construction","okres Žilina",Vlčince,7,11,2928.24,3177.283636,-0.0783825634
Ju35wiOj2hS,"Reinoo a.s.","3-room apartment",apartment,"new construction","okres Žilina",Vlčince,7,11,2872.24,3177.283636,-0.0960076817
JueIY5hIK7c,"Reinoo a.s.","3-room apartment",apartment,"new construction","okres Žilina",Vlčince,7,11,3631.29,3177.283636,0.1428913550
JuCKdo4C-vu,"Reinoo a.s.","3-room apartment",apartment,"new construction","okres Žilina",Vlčince,7,11,2951.36,3177.283636,-0.0711059074
JuWNJll5MyrA,"Reinoo a.s.","3-room apartment",apartment,"new construction","okres Žilina",Vlčince,7,11,3210.29,3177.283636,0.0103882334
JuzpWPdpylQ,"Reinoo a.s.","3-room apartment",apartment,"new construction","okres Žilina",Vlčince,7,11,2883.48,3177.283636,-0.0924700687
JuT9LmGMkpW,jabyvam.sk,"holiday apartment",apartment,"new construction","okres Liptovský Mikuláš",Demänová,2,11,4540.91,4467.148182,0.0165120598
JuKI6_CGWPh,jabyvam.sk,"holiday apartment",apartment,"new construction","okres Liptovský Mikuláš",Demänová,2,11,3996.00,4467.148182,-0.1054695664
Jul7be3Lkz5,"RK SPIRIT s.r.o.","holiday apartment",apartment,"new construction","okres Liptovský Mikuláš",Demänová,3,11,4230.77,4467.148182,-0.0529147842
JuP6qyzD4rb,"RK SPIRIT s.r.o.","holiday apartment",apartment,"new construction","okres Liptovský Mikuláš",Demänová,3,11,3997.50,4467.148182,-0.1051337817
JuWV1dgtiBd,"Reality Alpia","holiday apartment",apartment,"new construction","okres Liptovský Mikuláš",Demänová,1,11,4841.63,4467.148182,0.0838301759
