offer_id,agency,property_type,property_category,condition,location_district,location_area,agency_listings,district_listings,agency_price_m2,district_avg_price,price_index,area_price_index,area_category
JuxsRe4hFI1,"ALT REAL, s.r.o.","standard house",house,"new construction","okres Martin","Košťany nad Turcom",3,5,1908.40,2190.774000,-0.1288923458,-0.0830285942,average
JuVQq2TIIOM,"ALT REAL, s.r.o.","standard house",house,"new construction","okres Martin","Košťany nad Turcom",3,5,1908.40,2190.774000,-0.1288923458,-0.0830285942,average
JuK4J7tWBLU,"ALT REAL, s.r.o.","standard house",house,"new construction","okres Martin","Košťany nad Turcom",3,5,1827.59,2190.774000,-0.1657788526,-0.0830285942,average
Ju08TjjVb3y,"TUreality s.r.o.","standard house",house,"new construction","okres Žilina",Mojš,1,2,4275.51,3008.290000,0.4212426329,0.0039380882,average
JuGmc6FHo9t,"Stanislav Motyčík - MK","standard house",house,"new construction","okres Bytča","Hliník nad Váhom",1,7,2570.97,2537.945714,0.0130122113,0.0687680208,average
JuUyJggM4z1,"Realitná kancelária","standard house",house,"new construction","okres Martin","Kláštor pod Znievom",1,2,2345.45,2331.815000,0.0058473764,-0.1227246646,average
Ju9Ur37Ixsd,"RIEŠIME BÝVANIE","large house",house,"fully renovated","okres Žilina","Teplička nad Váhom",1,2,1395.42,1395.420000,0.0000000000,0.4891075647,premium
JuytovsywXn,"Bosen Group s.r.o.","standard house",house,"new construction","okres Žilina",Bitarová,1,8,1546.96,2370.061250,-0.3472911301,0.0902103437,average
JuExQtw6qVs,"TOCA, s.r.o. Realitná činnosť","standard house",house,"new construction","okres Žilina",Bitarová,2,8,1443.30,2370.061250,-0.3910283964,0.0902103437,average
JuGR3fH9qik,"TOCA, s.r.o. Realitná činnosť","standard house",house,"new construction","okres Žilina",Bitarová,2,8,1443.30,2370.061250,-0.3910283964,0.0902103437,average
Ju8hKWbYUWy,"R2 SK, s.r.o.","large house",house,"new construction","okres Kysucké Nové Mesto","Horný Vadičov",1,3,1760.92,1786.576667,-0.0143607982,-0.0528494707,average
