offer_id,property_type,area,terrain,price_m2,location_district,location_city,location_area,agency,office_city
Ju0yTvWbSXD,land,1903,NULL,53.60,"okres Žilina",Žilina,Bytčica,"BALAŽI REAL ESTATE s.r.o.",Topoľčany
JuhEf6udQZD,land,NULL,NULL,NULL,"okres Dolný Kubín","Vyšný Kubín","Vyšný Kubín","RES GROUP, s.r.o.",Žilina
JuaHyO1MbDH,land,871,NULL,67.51,"okres Čadca",Svrčinovec,Svrčinovec,"BeMi realitná kancelária",Nitra
Ju6g_Z5mX7e,land,1020,flat,220.00,"okres Martin",Martin,Stráne,"RE/MAX Slovakia",Bratislava
JuLljn1aubH,land,600,NULL,85.00,"okres Martin",Slovany,Slovany,"Buby reality, s.r.o.",Žilina
JuU1wLvylPv,land,400,NULL,129.75,"okres Kysucké Nové Mesto",Snežnica,Snežnica,"Realitné kancelárie SR",Bratislava
JunDvn09Q9U,land,685,flat,54.00,"okres Čadca",Čierne,Čierne,"AnReal s. r. o.",Mojš
JuDeXKjjRHY,land,522,NULL,124.52,"okres Bytča",Bytča,"Bytča - sever","Realitné kancelárie SR",Bratislava
JuDIbuwkSMQ,land,1250,NULL,79.11,"okres Ružomberok",Ružomberok,Hrabovo,"Hulka REAL Plus s.r.o.",Bratislava
JuuPfKXcC_S,land,1336,"gently sloped",75.00,"okres Čadca",Čadca,Horelica,"SLNOVRAT, s.r.o.",Olešná
JulD1JVCqAd,land,966,other,113.86,"okres Martin",Sučany,Sučany,"RECLOUD Reality a.s.",Bratislava
JuQ2QYedCFa,land,621,sloped,80.00,"okres Žilina",Ovčiarsko,Ovčiarsko,"Reality Now",Bratislava
JuMiM4qhAck,land,600,flat,160.00,"okres Žilina",Turie,Turie,"RES GROUP, s.r.o.",Žilina
JuJrQI4ug9X,land,497,sloped,90.54,"okres Dolný Kubín","Dolný Kubín","Malý Bysterec","RK Dalmia s. r. o.","Dolný Kubín"
JuriEZGWaqe,land,3762,sloped,41.00,"okres Dolný Kubín",Malatiná,Malatiná,"OVERENÉ REALITY","Banská Bystrica"
JudrqxfcGTR,land,863,NULL,75.32,"okres Liptovský Mikuláš",Vlachy,Vlachy,"Nové bývanie",Nitra
JuJ6HTdPmEs,land,NULL,NULL,NULL,"okres Liptovský Mikuláš",Ižipovce,Ižipovce,"TUreality s.r.o.",Žilina
Ju_QlVk-YXH,land,599,NULL,228.71,"okres Žilina",Mojš,Mojš,"RS Mansory s.r.o.",Bratislava
JuVff9I-9I0,land,1014,"gently sloped",75.00,"okres Martin",Valča,Valča,"Reality D.P.A.",Martin
JuLjH4Ztr0P,land,1657,NULL,82.38,"okres Tvrdošín",Liesek,Liesek,"BeMi realitná kancelária",Nitra
JuBnZj34L44,land,2873,flat,33.00,"okres Bytča","Hlboké nad Váhom","Hlboké nad Váhom","DRR INVEST, s. r. o.","Horný Hričov"
JuYMxTrMThn,land,655,NULL,79.00,"okres Čadca",Skalité,Skalité,"BeMi realitná kancelária",Nitra
Juo26F3NF2G,land,587,"gently sloped",141.40,"okres Ružomberok",Likavka,Likavka,"Reality Alpia",Martin
Juc0JQaKZWu,land,863,NULL,75.32,"okres Liptovský Mikuláš",Vlachy,Vlachy,"BeMi realitná kancelária",Nitra
JuH2DC2P8Ud,land,5473,NULL,49.00,"okres Dolný Kubín",Párnica,Párnica,"OREA, s.r.o.","Dolný Kubín"
JuVQ4EF1fqG,land,560,NULL,110.00,"okres Liptovský Mikuláš","Liptovský Mikuláš","Liptovská Ondrašová",NULL,NULL
Ju3Lr4SqXpm,land,4377,"gently sloped",250.00,"okres Martin",Martin,Stráne,"Reality AK, spol. s r.o.",Martin
JumOEZa9NyW,land,819,NULL,19.52,"okres Liptovský Mikuláš",Prosiek,Prosiek,"Direct Real, spol. s r.o.",Bratislava
JuoKzORdNaI,land,1006,NULL,97.00,"okres Liptovský Mikuláš",Jamník,Jamník,NULL,NULL
JuaXdatuUjs,land,701,NULL,NULL,"okres Kysucké Nové Mesto","Dolný Vadičov","Dolný Vadičov",NULL,NULL
JudOJ7xWOxA,land,1201,flat,65.00,"okres Turčianske Teplice","Turčianske Teplice","Turčiansky Michal","Reality Alpia",Martin
Ju2UzK1gp3R,land,1817,"gently sloped",27.00,"okres Čadca",Oščadnica,Oščadnica,"1. Reality Rent, s.r.o.",Žilina
JunD1SrFXPT,land,583,NULL,79.00,"okres Čadca",Skalité,Skalité,"BeMi realitná kancelária",Nitra
JuJTvvQyvPv,land,1937,"gently sloped",50.00,"okres Čadca",Makov,Makov,"TRI LIPY, s. r. o.",Čadca
JuUi2C1CE8-,land,939,flat,38.87,"okres Čadca",Turzovka,Predmier,"SLNOVRAT, s.r.o.",Olešná
Jua5wAoApR5,land,1487,"gently sloped",73.97,"okres Kysucké Nové Mesto",Rudina,Rudina,"DreamReality s.r.o.",Žilina
Ju1rBpBDljg,land,2270,NULL,56.17,"okres Martin",Žabokreky,Žabokreky,"MAX PROFI REALITY",Martin
JuTZg0TY8JC,land,2070,flat,85.00,"okres Martin",Belá-Dulice,Belá-Dulice,"OVERENÉ REALITY","Banská Bystrica"
JuzydWNY1w-,land,1785,flat,49.00,"okres Čadca",Olešná,Olešná,"1. Reality Rent, s.r.o.",Žilina
Jup4_5dTntt,land,829,flat,68.76,"okres Martin",Daňová,Daňová,"Reality AK, spol. s r.o.",Martin
JucXhJ-7RIW,land,2220,other,89.00,"okres Liptovský Mikuláš",Bobrovník,Bobrovník,"RE/MAX Slovakia",Bratislava
JuPITfSI3H0,land,2306,NULL,18.21,"okres Čadca",Staškov,Staškov,"SLNOVRAT, s.r.o.",Olešná
JuKVQligYhM,land,418,NULL,179.43,"okres Žilina",Bitarová,Bitarová,"RS Mansory s.r.o.",Bratislava
Ju_nFFJjAlC,land,471,flat,182.59,"okres Žilina",Ovčiarsko,Ovčiarsko,"R2 SK, s.r.o.",Žilina
Juz77F3qzjt,land,1487,"gently sloped",73.97,"okres Kysucké Nové Mesto",Rudina,Rudina,"DreamReality s.r.o.",Žilina
JuGN-E0XFUo,land,880,flat,169.32,"okres Martin",Martin,Priekopa,"RE/MAX Slovakia",Bratislava
JuNKPbY78gy,land,1089,flat,NULL,"okres Žilina",Terchová,Terchová,"AnoReal, s.r.o.",Stráňavy
Ju8tqbpzEho,land,850,flat,134.12,"okres Bytča",Štiavnik,Štiavnik,"TUreality s.r.o.",Žilina
JuWy3Av11B2,land,2086,NULL,40.70,"okres Liptovský Mikuláš",Vlachy,Vlachy,"BeMi realitná kancelária",Nitra
JuWpZopSoYC,land,471,flat,185.00,"okres Žilina",Ovčiarsko,Ovčiarsko,"TARGETreal s. r. o.",Žilina
JuI9ai4mRCA,land,13790,flat,NULL,"okres Martin",Martin,Tomčany,"MAX PROFI REALITY",Martin
JuG7n8qbXvU,land,550,flat,281.82,"okres Žilina",Žilina,Trnové,"WFG reality, s.r.o.",Žilina
JulK1E26g9e,land,1573,"mostly flat",21.11,"okres Čadca",Klokočov,Klokočov,"HOLESTIAK.sk reality s.r.o.",Čadca
JunWOzEcRHK,land,881,flat,62.43,"okres Čadca",Makov,Makov,"1. Reality Rent, s.r.o.",Žilina
Ju9bTv_8--p,land,1061,"mostly flat",59.46,"okres Námestovo","Oravská Lesná","Oravská Lesná","ZAJO Reality, s.r.o.",Trenčín
JuEl39vdmi7,land,642,"gently sloped",93.44,"okres Žilina","Kotrčiná Lúčka","Kotrčiná Lúčka","Gro & Partners",Žilina
Ju9T9motLi6,land,652,"mostly flat",130.37,"okres Žilina",Divina,Divina,"Mamud Reality s. r. o.",Žilina
Ju9IFe2gRus,land,612,NULL,44.93,"okres Turčianske Teplice",Sklené,Sklené,"BeMi realitná kancelária",Nitra
JulC2goTuDK,land,416,flat,480.77,"okres Žilina",Žilina,Vlčince,"WFG reality, s.r.o.",Žilina
JufmowlUURT,land,560,flat,78.00,"okres Čadca",Skalité,Skalité,"HOLESTIAK.sk reality s.r.o.",Čadca
JujO5TgvXtG,land,12000,NULL,NULL,"okres Dolný Kubín",Párnica,Párnica,NULL,NULL
Juidgw39ied,land,NULL,NULL,123.00,"okres Liptovský Mikuláš",Podtureň,Podtureň,"TUreality s.r.o.",Žilina
JueE0RaoId9,land,350,flat,0.26,"okres Liptovský Mikuláš","Liptovská Sielnica","Liptovská Sielnica","NFA Group, s.r.o.","Žiar nad Hronom"
JuOd8JFAh_B,land,754,flat,230.00,"okres Žilina",Žilina,Trnové,"Piata Avenue",Žilina
Ju8z5R1jfB3,land,NULL,NULL,NULL,"okres Liptovský Mikuláš","Svätý Kríž","Svätý Kríž","TUreality s.r.o.",Žilina
