agency,apt_listings,apt_pricing_idx,apt_top5,house_listings,house_pricing_idx,house_top5,land_listings,land_pricing_idx,land_top5
"RK 38- Miroslav Antoška",1,0.00000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"RK ANNA, s.r.o.",NULL,NULL,NULL,1,0.00000000,NULL,NULL,NULL,NULL
"RK Dalmia s. r. o.",8,-0.01852500,NULL,10,0.03982500,NULL,15,0.01220667,NULL
"RK Finanz Real, s.r.o.",NULL,NULL,NULL,1,0.00000000,NULL,NULL,NULL,NULL
"RK SPIRIT s.r.o.",32,-0.00927273,NULL,11,0.00000000,NULL,5,0.00000000,NULL
"RK VILLEA, s. r. o.",NULL,NULL,NULL,1,0.00000000,NULL,3,0.34245000,NULL
"RK4 REALITY",4,-0.01016667,NULL,NULL,NULL,NULL,2,0.04420000,NULL
"Romantické Chalupy, s.r.o.",1,0.08230000,NULL,37,0.03306486,"Romantické Chalupy, s.r.o.",4,-0.02067500,NULL
"ROMDOM, s. r. o",4,-0.03950000,NULL,7,-0.02472857,NULL,4,0.20536667,NULL
"ROSA reality",2,0.00000000,NULL,1,0.00000000,NULL,2,0.19560000,NULL
"RS Mansory s.r.o.",3,-0.00336667,NULL,13,-0.00194167,NULL,30,-0.04235926,"RS Mansory s.r.o."
"Safe reality s. r. o.",13,-0.01630833,NULL,7,-0.00003333,NULL,11,-0.09892000,NULL
"SCHNEIDER Real",NULL,NULL,NULL,NULL,NULL,NULL,1,0.00000000,NULL
"SIERA realitná kancelária s.r.o.",NULL,NULL,NULL,1,0.00000000,NULL,NULL,NULL,NULL
"ŠIRINY, s.r.o.",1,0.00000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"SLNOVRAT, s.r.o.",14,0.00000000,NULL,15,-0.00852727,NULL,29,-0.10060000,"SLNOVRAT, s.r.o."
"Slovak Estate s.r.o.",NULL,NULL,NULL,NULL,NULL,NULL,1,0.00000000,NULL
"Stanislav Motyčík - MK",NULL,NULL,NULL,1,-0.03330000,NULL,1,-0.01230000,NULL
"Stanislav Slovák",NULL,NULL,NULL,1,-0.02050000,NULL,NULL,NULL,NULL
"STAREA, s. r. o.",3,-0.11453333,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"StorkReal s. r. o.",2,0.07255000,NULL,5,-0.01636000,NULL,7,0.01931667,NULL
"STRATEGIC REALITY",2,0.00000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"sunnyreal s.r.o.",1,0.00580000,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Svoboda&Williams Slovakia s.r.o.",2,0.19800000,NULL,NULL,NULL,NULL,1,0.00000000,NULL
"T.S.reality, s.r.o.",NULL,NULL,NULL,NULL,NULL,NULL,1,0.00000000,NULL
"TARGETreal s. r. o.",19,-0.03128235,NULL,32,0.01210357,"TARGETreal s. r. o.",25,0.03542400,NULL
"TATRA CITY RESIDENCE s. r. o.",9,0.02054444,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Tatra Invest",4,-0.02975000,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Tatry mountain resorts, a.s.",5,0.00002000,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"TB Real, spol. s r.o.",NULL,NULL,NULL,1,0.00000000,NULL,NULL,NULL,NULL
"TeEq Reality",NULL,NULL,NULL,NULL,NULL,NULL,1,-0.03390000,NULL
"Teraz, a.s.",3,0.11823333,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Time4dreams,1,0.00000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"TL Agentura s.r.o",NULL,NULL,NULL,NULL,NULL,NULL,1,0.00000000,NULL
"TOCA, s.r.o. Realitná činnosť",1,0.00000000,NULL,22,-0.12384615,NULL,10,-0.01490000,NULL
"TOP Living s.r.o.",NULL,NULL,NULL,1,0.00000000,NULL,NULL,NULL,NULL
"Top Real Košice s.r.o.",1,-0.03460000,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"TRI LIPY, s. r. o.",1,0.01140000,NULL,2,0.08045000,NULL,9,0.12011111,NULL
"Tribeca Group s. r. o",NULL,NULL,NULL,1,0.00000000,NULL,NULL,NULL,NULL
"Trioreality, s.r.o.",3,0.00000000,NULL,3,-0.21125000,NULL,1,0.28780000,NULL
"TUreality s.r.o.",64,-0.00061702,"TUreality s.r.o.",60,0.01611875,"TUreality s.r.o.",17,0.02251818,NULL
"U9, a.s.",NULL,NULL,NULL,4,0.00000000,NULL,NULL,NULL,NULL
"United Professionals s.r.o.",1,0.06470000,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Urbanista,NULL,NULL,NULL,NULL,NULL,NULL,1,0.00000000,NULL
