price_m2,ln_price_m2,holiday_apartment,rooms,area,ln_area,unrenovated,partially_renovated,fully_renovated,new_construction,new_project,ground_floor,upper_floor,top_floor,missing_floor,floor_upto_8,very_high_floor,elevator,age,ln_age,energy_certificate,north,south,east,west,BY,ZA,KM,CA,MT,TR,DK,NO,TS,RK,LM,area_price_index
2088.61,7.644254051930185,0,2.0,79,4.3694478524670215,0,1,0,0,0,1,0,0,1,2.8,0,0,44.74,3.822973188594635,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1.92597764472105
2222.42,7.706351971239644,0,2.0,55,4.007333185232471,0,0,1,0,0,1,0,0,0,1.0,0,0,42.02,3.761665123839584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.92597764472105
3081.19,8.033071164984774,0,4.0,156,5.049856007249537,0,0,0,0,1,0,0,1,0,4.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.92597764472105
2292.31,7.737315321742861,0,2.0,65,4.174387269895637,0,0,1,0,0,1,0,0,0,1.0,0,0,125,4.836281906951478,7,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1.92597764472105
2103.51,7.651362657000735,0,2.0,57,4.04305126783455,0,1,0,0,0,0,0,0,1,2.8,0,0,44.74,3.822973188594635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.92597764472105
2770.03,7.926613429447646,0,2.0,57,4.04305126783455,0,0,0,1,0,1,0,0,0,1.0,0,0,4.47,1.6992786164338898,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.92597764472105
2173.91,7.6842826684801535,0,2.0,69,4.23410650459726,0,0,1,0,0,1,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.92597764472105
3214.29,8.075361772469643,0,2.0,42,3.7376696182833684,0,0,0,1,0,0,0,0,1,2.8,0,0,4.47,1.6992786164338898,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.92597764472105
2913.03,7.9769490555675775,0,3.0,120,4.787491742782046,0,0,1,0,0,0,1,0,0,3.0,0,0,42.02,3.761665123839584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.92597764472105
2794.64,7.935458575862456,0,2.0,56,4.02535169073515,0,0,1,0,0,0,0,0,1,2.8,0,0,42.02,3.761665123839584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.92597764472105
4009.98,8.296541532757004,0,3.0,105,4.653960350157523,0,0,0,0,1,0,1,0,0,4.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.92597764472105
3027.16,8.015380165239604,1,2.5,94,4.543294782270004,0,0,0,1,0,0,0,1,1,2.8,0,0,4.47,1.6992786164338898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.92597764472105
4030.92,8.301749916728216,0,3.0,91,4.51085950651685,0,0,0,1,0,0,1,0,0,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.92597764472105
2071.24,7.635902740726704,0,2.0,65,4.174387269895637,0,0,1,0,0,0,1,0,0,4.0,0,1,42.02,3.761665123839584,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.92597764472105
