price_m2,area,house_area,land_area,unrenovated,partially_renovated,fully_renovated,new_construction,in_development,age,flat,sloped,BY,ZA,KM,CA,MT,TR,DK,NO,TS,RK,LM,area_price_index
1599.92,125,125,660,0,1,0,0,0,45,1,0,0,0,0,0,0,0,0,0,0,1,0,15.83447532986667
1222.22,90,90,986,1,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,1,0,15.83447532986667
444.44,360,360,360,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-38.27579123400000
1562.09,153,153,912,0,1,0,0,0,60,0,0,0,1,0,0,0,0,0,0,0,0,0,8.95069783160000
2471.43,70,70,822,1,0,0,0,0,56,0,0,0,1,0,0,0,0,0,0,0,0,0,60.47051115403333
1760.92,210,210,1082,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,-5.28494706760000
1548.81,192,192,1082,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,-5.28494706760000
1204.17,240,240,240,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-5.28494706760000
2050.00,180,180,1082,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,-5.28494706760000
1596.70,250,250,260,0,0,1,0,0,75,0,0,0,1,0,0,0,0,0,0,0,0,0,74.15410284980000
1596.00,250,250,260,0,0,1,0,0,65,1,0,0,1,0,0,0,0,0,0,0,0,0,74.15410284980000
2750.00,120,120,317,1,0,0,0,0,76,1,0,0,1,0,0,0,0,0,0,0,0,0,74.15410284980000
