offer_id,built_in,house_area,land_area,built_up_area,terrain,energy_certificate,electricity,water
JuzAGRifcCv,2013,200,790.0,100.0,flat,"not available",NULL,NULL
JuWLq7Wh8lf,2020,170,715.0,94.0,NULL,"not available",NULL,NULL
Ju9fCSXKuI8,1900,200,1064.0,140.0,NULL,"not available",NULL,NULL
JuzfaiaPF1e,1995,95,NULL,100.0,flat,"not available",on-site,"public water"
Ju_jNWgq4Ah,1979,200,NULL,100.0,"mostly flat","not available",NULL,NULL
JukqbzsVg5j,1957,227,4951.0,181.1,flat,"not available",on-site,"public water"
Ju7p-ibu19t,1985,285,1073.0,120.0,"gently sloped","not available",on-site,"public water"
JuHbG5bC-AQ,1940,240,4377.0,120.0,"gently sloped","not available",NULL,NULL
JuMpX9TQAHl,2007,250,NULL,150.0,flat,"not available",on-site,"public water"
JuTNxy0mSKf,1970,200,1032.0,100.0,"mostly flat","not available",NULL,NULL
Juwnal8LZ_c,2024,200,588.0,90.0,"gently sloped","not available",on-site,"public water"
JukKOW5g8ic,1975,100,1359.0,197.0,flat,"not available",on-site,"public water"
JufvMyqhmxo,1995,238,NULL,NULL,flat,"not available","not available",well
JuUuFP8LBad,1967,130,895.0,100.0,"mostly flat","not available",on-site,"public water"
JuGlgzti-Xv,1970,150,713.0,120.0,flat,"not available",on-site,"public water"
JuLLKbrzsGT,1975,200,NULL,130.0,"gently sloped","in preparation",on-site,"public water"
JuHzzpFEcq7,2022,450,1700.0,227.0,NULL,"not available",NULL,NULL
JuAHn1RYaaM,1980,120,2036.0,120.0,flat,"not available",NULL,NULL
JuUyDXLqSR7,1970,280,1039.0,132.0,flat,"not available",on-site,"public water"
JuxqHjwv5kQ,2025,130,600.0,130.0,flat,"not available",NULL,well
JukjLL6Pznq,2023,200,1310.0,100.0,flat,"not available",NULL,well
JuEdQgaYA3w,1970,203,722.0,203.0,flat,"not available",on-site,"public water"
JucVvBL8mQZ,2024,84,416.0,93.0,flat,A,NULL,"public water"
Juzanri8hki,1964,160,778.0,110.0,flat,"not available",on-site,"public water"
JuNKxzZQlzf,1980,200,649.0,120.0,flat,"not available",on-site,"public water"
JuLre6AewXY,2022,90,909.0,90.0,NULL,NULL,NULL,NULL
JuJF0aEq48e,1958,664,NULL,78.0,flat,"not available",on-site,well
Ju2bCMkIGvc,1956,100,1550.0,100.0,NULL,NULL,NULL,NULL
JuHinPus21r,1932,120,982.0,50.0,flat,"not available",NULL,"public water"
Ju3sdsvW1qf,2025,250,980.0,138.0,NULL,NULL,NULL,NULL
JujgFHysqby,1961,70,173.0,90.0,flat,"not available",NULL,well
Juec3rJbHzE,2022,126,380.0,70.0,flat,B,NULL,well
JuVTTY5wrme,1961,100,NULL,250.0,flat,"not available",on-site,"public water"
JufEAKik-mc,1980,138,452.0,138.0,sloped,NULL,NULL,well
Ju8UQkGga6F,1941,1252,1252.0,575.0,sloped,"not available",on-site,"public water"
JuMmB0vZcwg,1995,160,544.0,119.0,"mostly flat",NULL,NULL,NULL
Juu4bOArZvB,1920,90,543.0,90.0,NULL,NULL,NULL,NULL
JuG-JRPmhAG,2023,100,450.0,NULL,other,"not available",on-site,well
Ju6-BxY4Q9v,2020,80,354.0,80.0,NULL,NULL,NULL,NULL
Ju4_CW18xww,1970,150,812.0,150.0,flat,"not available",NULL,"public water"
JujfdD-5RPO,2024,147,NULL,199.0,flat,A,NULL,well
JuJ5z8J0t7V,2022,175,700.0,NULL,other,"not available","not available","not available"
Ju7pKhqP4zK,1937,464,2177.0,464.0,flat,"not available",on-site,"public water"
JuRty8qQQ_7,1980,220,NULL,344.0,"gently sloped","not available",on-site,well
Juv0ePbKA7G,1930,100,NULL,907.0,flat,"not available",NULL,well
JuKz9mvEvI_,1928,200,NULL,200.0,"gently sloped","not available",on-site,"public water"
JunAaEjMO5H,2006,260,NULL,140.0,flat,"not available","not available","not available"
JuVJGPaHJOp,2002,386,1045.0,154.0,"gently sloped",NULL,NULL,NULL
JuqydMjWuh4,1900,100,576.0,80.0,NULL,"not available",NULL,NULL
JunkMQWQbHn,1980,683,683.0,NULL,flat,"not available",on-site,well
JuM-6ImZqgg,1967,165,1000.0,95.0,NULL,"not available",NULL,NULL
Jup9Yn-xSxK,2025,125,426.0,NULL,other,"not available","not available","not available"
JuB8tqpRaSl,1950,110,402.0,160.0,"mostly flat","not available",NULL,NULL
Juu2Y87Z-DK,1979,220,1057.0,106.0,NULL,"not available",on-site,well
JukEQsAHFmW,1970,100,1230.0,160.0,"gently sloped",NULL,NULL,"public water"
JuMiWG_Bjr-,1958,160,3200.0,100.0,flat,"not available",NULL,NULL
JuoozgHS-2r,1965,160,435.0,108.0,"gently sloped",NULL,on-site,well
Juzaery-uaM,2023,139,712.0,160.0,NULL,NULL,NULL,NULL
JuJSekEM4oc,2026,102,750.0,130.0,flat,A,on-site,"public water"
JubJO0qS-zH,1965,140,1620.0,180.0,flat,"not available",NULL,"public water"
JueA1N-Ntfj,1930,96,593.0,76.0,"gently sloped","not available",NULL,"public water"
JuHtgn-PdTN,2025,106,605.0,NULL,flat,"not available",NULL,well
Jub25_ejcJA,2013,153,491.0,92.0,"gently sloped",B,on-site,"public water"
JuvMlRWqyJoo,2003,240,1619.0,NULL,other,"not available","not available","not available"
JuzSO8DcIjL,2013,150,649.0,163.0,flat,"not available",NULL,"public water"
JuT-mCUWMWu,2020,120,1112.0,70.0,"gently sloped",A,NULL,NULL
Ju14mSBpDUx,1960,200,522.0,110.0,NULL,"not available",NULL,NULL
Ju07wpce3-e,1922,50,182.0,50.0,NULL,NULL,NULL,NULL
JuiIP6qTDBs,1970,100,709.0,264.0,flat,A,NULL,"public water"
JuWA9aOrYrn,1960,120,1621.0,150.0,flat,"not available",on-site,"public water"
JuTaKGvu-_W,1956,100,850.0,100.0,NULL,NULL,NULL,NULL
Juolbg2gxyQ,1900,300,769.0,150.0,other,"not available",NULL,NULL
JuOzMZP3NXD,1989,70,NULL,34.0,"gently sloped","not available",NULL,well
JuhiXx9KEAl,1980,612,NULL,414.0,"gently sloped","not available",on-site,"public water"
JuD_VuWF7qU,2018,94,1104.0,100.0,sloped,B,on-site,"public water"
Ju7FT7K1T9V,1960,156,880.0,156.0,flat,"not available",NULL,NULL
Ju1tEs_gT7e,2016,140,639.0,143.0,sloped,A,NULL,NULL
JujDi-L-0hf,2020,126,1722.0,166.0,"mostly flat",A,NULL,NULL
JuWVZLxkLMK,2025,1375,1375.0,165.0,"gently sloped","not available","not available",well
JuUrENnUrd4,1967,120,1074.0,205.0,flat,"not available",NULL,NULL
JuRBO1iDcGe,1975,240,816.0,215.0,flat,"not available",on-site,"public water"
