offer_id,position,floor,total_floors,elevator,built_in,energy_certificate,north,south,east,west
JuInv_n4G9P,"upper floor",2,5,NULL,2026,"not available",yes,NULL,yes,NULL
JuUFq9Wci3W,NULL,NULL,NULL,NULL,2025,"not available",NULL,NULL,NULL,NULL
JuBnUuJa9ic,"upper floor",5,10,yes,2024,"not available",NULL,NULL,yes,NULL
Ju2txZynSMnS,NULL,NULL,NULL,NULL,1980,"not available",NULL,NULL,NULL,NULL
Jucm4yaaOJ2,"ground floor",1,4,NULL,2013,"not available",NULL,NULL,NULL,NULL
JuT9LmGMkpW,"ground floor",1,2,NULL,2010,"not available",NULL,NULL,NULL,yes
JuuOQAIf3eQ,"upper floor",3,NULL,yes,2024,NULL,NULL,NULL,NULL,NULL
JuhSIJae8jB,NULL,NULL,NULL,NULL,2022,A,NULL,NULL,NULL,NULL
Ju20KERTu8I,"upper floor",NULL,NULL,NULL,NULL,"not available",NULL,NULL,yes,NULL
JuGfHZevCsA,"upper floor",6,8,yes,1975,"not available",NULL,NULL,NULL,NULL
JufXjo0g1k9,"upper floor",2,NULL,yes,NULL,A,NULL,NULL,NULL,NULL
JuPNe1hyDeq,"upper floor",5,6,NULL,2025,"not available",yes,NULL,NULL,yes
Jumt5qe1Qm47,"ground floor",NULL,NULL,NULL,1986,"not available",NULL,NULL,NULL,NULL
JuI6MQ6tc2T,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Ju4eeNbxgyr,"upper floor",4,7,NULL,1995,NULL,NULL,NULL,NULL,NULL
JuN3wzC2QtN,"top floor",5,5,NULL,1972,"not available",NULL,NULL,yes,NULL
JuZdOmvD2ic,"upper floor",2,6,yes,2025,A,NULL,yes,NULL,yes
JuQG3Tg2HJV,"ground floor",1,9,yes,NULL,A,NULL,NULL,NULL,NULL
Ju7i7kUX31N,"ground floor",1,4,NULL,2025,"not available",NULL,NULL,NULL,NULL
JuT7xzp7Ax-,"upper floor",2,5,NULL,1972,C,yes,NULL,NULL,NULL
JuTL4AQg4bH,"ground floor",1,2,NULL,1960,"not available",NULL,NULL,NULL,NULL
JuYNcMLobvd,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
JuCgojI4KWH,"upper floor",2,NULL,NULL,1970,B,NULL,NULL,NULL,NULL
JukjSccuSX6,NULL,NULL,NULL,NULL,1980,"not available",NULL,NULL,NULL,NULL
JuvuB2q_3M4,"upper floor",3,6,yes,2025,A,NULL,NULL,NULL,yes
Jum788VaVl8,"ground floor",1,4,yes,2025,"in preparation",NULL,yes,NULL,yes
JuRDv8rOGAN,"upper floor",3,6,NULL,2025,A,NULL,yes,yes,NULL
JuguMiG6Pot,"added floor",2,4,yes,2026,A,yes,yes,yes,yes
JunSqXxyUya,"ground floor",1,4,yes,2025,"in preparation",NULL,yes,NULL,yes
Juzl0Ycup_I,"top floor",4,4,NULL,2010,B,NULL,NULL,NULL,NULL
